county,CZ,cz_label
1069,3,"Dothan, AL"
1023,9,"Meridian, MS"
1005,3,"Dothan, AL"
1107,4,"Tuscaloosa, AL"
1033,10,"Huntsville, AL"
4012,37,"Los Angeles, CA"
4001,32,"Gallup, NM"
5081,55,"Texarkana, TX"
5121,46,"Jonesboro, AR"
6037,37,"Los Angeles, CA"
6097,58,"San Francisco, CA"
6001,58,"San Francisco, CA"
6045,67,"Clearlake, CA & Ukiah, CA"
6015,63,"Brookings, OR & Crescent City, CA"
8077,79,"Grand Junction, CO"
8083,74,"Farmington, NM"
8067,74,"Farmington, NM"
6055,58,"San Francisco, CA"
10005,89,"Dover, DE"
12086,96,"Miami, FL"
12071,99,"Cape Coral, FL"
12037,102,"Carrabelle, FL & Eastpoint, FL"
12033,100,"Pensacola, FL"
17031,152,"Chicago, IL"
17017,146,"Springfield, IL"
17109,146,"Springfield, IL"
13245,116,"Augusta, GA"
17041,148,"Decatur, IL"
13103,115,"Savannah, GA"
16027,129,"Boise, ID"
26103,261,"Marquette, MI"
18061,168,"Louisville, KY"
19177,178,"Ottumwa, IA"
19045,158,"Dubuque, IA"
19163,156,"Davenport, IA"
18161,172,"Richmond, IN"
26107,275,"Cadillac, MI"
26063,272,"Detroit, MI"
36067,384,"Syracuse, NY"
20175,215,"Liberal, KS"
36071,388,"Poughkeepsie, NY"
8031,72,"Denver, CO"
36017,383,"Binghamton, NY"
21101,231,"Henderson, KY"
21195,236,"Pikeville, KY"
8019,72,"Denver, CO"
8055,83,"Trinidad, CO"
21093,230,"Elizabethtown, KY"
21127,236,"Pikeville, KY"
26099,272,"Detroit, MI"
21135,228,"Maysville, KY"
22051,240,"New Orleans, LA"
22111,243,"Monroe, LA"
22067,243,"Monroe, LA"
8091,79,"Grand Junction, CO"
23013,248,"Portland, ME"
23015,248,"Portland, ME"
24005,252,"Baltimore, MD"
24047,89,"Dover, DE"
24031,253,"Hagerstown, MD & Frederick, MD"
1051,1,"Montgomery, AL"
1009,5,"Birmingham, AL"
25001,254,"Boston, MA"
25013,258,"Springfield, MA"
26041,261,"Marquette, MI"
1025,2,"Mobile, AL"
1055,8,"Gadsden, AL"
26013,265,"Houghton, MI"
1115,5,"Birmingham, AL"
1065,4,"Tuscaloosa, AL"
27137,283,"Duluth, MN"
27107,279,"Fargo, ND"
27173,284,"Willmar, MN"
28087,302,"Starkville, MS & Columbus, MS"
29031,312,"Cape Girardeau, MO"
29201,312,"Cape Girardeau, MO"
29081,317,"Trenton, MO"
30031,326,"Bozeman, MT"
30071,340,"Malta, MT"
30085,337,"Glasgow, MT & Wolf Point, MT"
30089,343,"Thompson Falls, MT"
31103,352,"O'Neill, NE"
34011,368,"Trenton, NJ"
34041,369,"Newark, NJ & Jersey City, NJ"
34005,368,"Trenton, NJ"
34023,369,"Newark, NJ & Jersey City, NJ"
35041,374,"Clovis, NM"
37031,402,"Jacksonville, NC"
37165,398,"Fayetteville, NC"
37009,395,"Boone, NC"
37075,123,"Waynesville, NC"
38105,342,"Williston, ND"
38085,417,"Mobridge, SD"
39123,429,"Sandusky, OH"
39125,427,"Toledo, OH"
39035,420,"Cleveland, OH"
40095,435,"Ardmore, OK"
40013,435,"Ardmore, OK"
40023,57,"Idabel, OK & De Queen, AR & Mena, AR"
41033,457,"Medford, OR"
41045,129,"Boise, ID"
41001,447,"La Grande, OR"
41021,453,"Counties: Gilliam Co., OR, Wheeler Co., OR"
42045,90,"Philadelphia, PA"
42049,385,"Erie, PA"
42059,463,"Pittsburgh, PA"
45053,471,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC"
45043,474,"Myrtle Beach, SC"
45091,394,"Charlotte, NC"
45057,394,"Charlotte, NC"
46009,354,"Yankton, SD"
47065,118,"Chattanooga, TN"
47163,489,"Johnson City, TN"
47009,486,"Knoxville, TN"
47019,489,"Johnson City, TN"
48273,499,"McAllen, TX"
48391,499,"McAllen, TX"
48201,501,"Houston, TX"
48443,532,"County: Terrell Co., TX"
48229,375,"El Paso, TX"
48205,379,"Dumas, TX"
48351,239,"Beaumont, TX & Lake Charles, LA"
54107,430,"Parkersburg, WV"
49037,538,"Moab, UT"
49033,132,"Evanston, WY"
50027,367,"Lebanon, NH & Claremont, NH"
51119,555,"Newport News, VA"
51131,541,"Chincoteague, VA"
51117,397,"Roanoke Rapids, NC"
51133,554,"Warsaw, VA & Tappahannock, VA"
51051,553,"Big Stone Gap, VA"
51107,551,"Winchester, VA"
51181,401,"Virginia Beach, VA"
53027,450,"Aberdeen, WA"
53053,561,"Seattle, WA"
53047,135,"Spokane, WA"
53071,460,"Kennewick, WA"
54031,251,"Cumberland, MD"
54023,251,"Cumberland, MD"
55121,296,"Eau Claire, WI"
55037,271,"Marinette, WI"
56045,579,"Gillette, WY"
5013,44,"El Dorado, AR"
5061,45,"Hot Springs, AR"
5099,45,"Hot Springs, AR"
