CZ label,tot job posts,AIREA job posts,AIREA %,"posts per 1,000",CZ population
"Los Angeles, CA",1438165.5,247364.625,0.17200011055751233,394.3151687926266,3647248.7335539013
"Chicago, IL",882883.1875,162745.9375,0.18433462071107792,644.5242005864233,1369821.6245359054
"New York, NY",790361,110562.125,0.13988813339727035,475.7553165412614,1661276.2328037033
"San Francisco, CA",736718.125,131003.75,0.17782072349584177,934.1446575588819,788655.2891339128
"Boston, MA",686058.0625,125814.375,0.18338735724718636,844.9346787653502,811965.8001284708
"Dallas, TX",614307.5625,113048.5625,0.1840259983776449,620.6083130314441,989847.460307666
"Washington, DC",597947.5625,115348.625,0.19290759296305351,1333.9043999163016,448268.67842816876
"Seattle, WA",557785.5625,102773.75,0.18425315553053598,752.86629202250106,740882.635350248
"Phoenix, AZ",532644.8125,94203,0.17685894575383665,215.08780288476834,2476406.4040644853
"Detroit, MI",514295.875,113673.25,0.22102695262722066,706.4211290236174,728030.1421771402
"Denver, CO",497631.625,95979.5625,0.19287271483198037,1171.5892768574229,424749.21444723965
"Newark, NJ & Jersey City, NJ",488984.4375,91289.25,0.18669152430848068,874.1993518216742,559351.1782879322
"Houston, TX",483525,105490.875,0.21817046688382194,338.86982503683817,1426875.3493983613
"Atlanta, GA",479564.75,91182.8125,0.19013660303431393,1005.9020416981001,476750.9460368816
"Philadelphia, PA",472857.9375,85399.4375,0.18060273652485742,620.7072891540787,761805.0339708868
"Minneapolis, MN",422351.25,83014,0.1965520405113043,972.3868730668266,434344.8700288802
"San Jose, CA",356479.6875,75249.625,0.21109091945105568,381.6334796725598,934089.13653450506
"Miami, FL",351878.6875,52679.1875,0.1497083778340511,186.29937055643003,1888780.8716101702
"San Diego, CA",336337.875,65448.25,0.19459078166560934,178.04533252961784,1889057.5238418574
"Portland, OR",331031.0625,65257.375,0.19713369043728335,817.1835736015378,405087.7589732514
"Baltimore, MD",299345.8125,58525.0625,0.1955098753886861,607.5240461517182,492730.80530090455
"Tampa, FL",289857.125,50161.6875,0.1730565964179766,324.1405086149888,894232.9554504701
"Charlotte, NC",281884.9375,56668.25,0.20103326734157265,763.5732486404785,369165.54895275406
"Austin, TX",276915.0625,50822.25,0.1835301032062855,523.0487827445141,529424.9248549739
"Cleveland, OH",275393.6875,55035.3125,0.19984231664714536,521.0390737030687,528547.0925294601
"Kansas City, MO",264481.0625,51369.9375,0.19422917094489517,879.1777108701642,300827.7612477578
"Orlando, FL",248214.5,43933.375,0.17699761698047456,415.0808904648725,597990.6704980097
"Raleigh, NC",240993.25,50344.75,0.2089052286734172,595.6749012221153,404571.77145716
"St. Louis, MO",236974.8125,43639.0625,0.1841506362622399,550.9846463042628,430093.31401430484
"Salt Lake City, UT",233851.3125,44770.4375,0.19144830542697938,481.1294255494367,486046.5814015599
"Columbus, OH",226967.375,44786.5625,0.19732599233700437,451.67467490343466,502501.8837917452
"Pittsburgh, PA",223268.0625,42645.1875,0.1910044232143592,464.39795959658693,480768.8274383213
"Indianapolis, IN",220861.8125,45184.125,0.20458097526479369,640.2663680021512,344953.0125862521
"Milwaukee, WI",214611.25,46215,0.21534285830775413,539.8049666341147,397571.83291250764
"Sacramento, CA",212886,39207.625,0.18417192769839258,358.92462414491536,593121.7466819651
"Cincinnati, OH",207340.875,43807.6875,0.2112834119176935,592.3666767088533,350021.1662005888
"San Antonio, TX",203919.75,39798.0625,0.19516531625798875,278.2915574167797,732755.7899810891
"Fort Worth, TX",201456.5,38631.375,0.19176038003241394,203.9915859142161,987572.5956889116
"Las Vegas, NV",193323.0625,30664.5625,0.15861823262809113,113.95846615621936,1696434.402995422
"Nashville, TN",191389.5,33912.5,0.177191016226073,604.0553470077397,316840.99966678675
"Palm Bay, FL & Port St. Lucie, FL",180594.25,29897.6875,0.16555171330205695,273.8806579021872,659390.3030001367
"Trenton, NJ",174310.125,31695,0.18183108984632992,535.627211059235,325431.7954744891
"Jacksonville, FL",149209.6875,29435.0625,0.19727313281853767,361.78596811416577,412425.3029429686
"Richmond, VA",136674.875,25775.5,0.18858989261925427,767.467816269936,178085.48072317903
"Hagerstown, MD & Frederick, MD",133523.875,26599.8125,0.19921390462941552,273.70068103368635,487846.33818125667
"Poughkeepsie, NY",130738.1875,21355.125,0.1633426729279079,302.5272979644759,432153.35733224265
"Virginia Beach, VA",129820.125,26601.625,0.20491141107744273,672.8972138771782,192927.12515777434
"Oklahoma City, OK",129625.25,24752.25,0.19095238003398257,379.9462198002603,341167.3632866901
"Louisville, KY",128898,24211.3125,0.1878331122282735,396.20667608163467,325330.20714027993
"Providence, RI",128445.625,22016.625,0.17140813476519734,348.3533674238769,368722.2143132241
"Winston-Salem, NC",120114.1875,25331.4375,0.21089463307571388,437.3219609319395,274658.48557898833
"Harrisburg, PA & Lancaster, PA",118005.0625,25239.25,0.21388277303780928,366.4758546876408,321999.5560159878
"Grand Rapids, MI",115777.875,23960.5,0.2069523214171965,383.0188795095077,302277.20144830627
"Omaha, NE",115103.5625,21649.5625,0.18808768408015172,464.71253412311785,247687.66505769614
"Memphis, TN",114760.3125,24117.5625,0.21015595003716986,236.00849413116097,486255.0092634476
"New Orleans, LA",114225.1875,21523.25,0.18842823085757684,471.6201282254958,242197.43955751078
"Nashua, NH",106087.1875,19560.25,0.18437900429776216,462.9006888922083,229179.15234449698
"Albuquerque, NM",105630.125,20181.6875,0.19105996040428808,335.6467888261949,314706.1986482985
"Birmingham, AL",104152.875,20649.5,0.19826144981595564,312.3408175975258,333459.0586050417
"Madison, WI",103345.6875,21265.6875,0.2057723743915294,388.0660787324076,266309.51058018755
"Buffalo, NY",101238.1875,19677.875,0.19437205945631927,214.96491633243767,470952.1405969231
"Des Moines, IA",100145.25,18351.125,0.18324508651184154,388.4521449719569,257805.88753662223
"Tucson, AZ",98367.75,18902.4375,0.19216092164352647,147.8653048342781,665252.4073192619
"Gainesville, GA",97769.3125,18680.375,0.1910658316227804,287.2454604270455,340368.5208972395
"Colorado Springs, CO",95187.3125,19776.875,0.20776797327900187,275.6504718008467,345318.8811110449
"Stockton, CA & Modesto, CA",94122.5625,17971.875,0.19094119967250148,224.6279895019995,419015.29149893485
"Fresno, CA",91017,16332.75,0.17944724611885693,171.51005029712138,530680.2711696693
"Allentown, PA",90215.0625,19252.9375,0.21341156306354053,292.581652882745,308341.48898651067
"Boise, ID",85630.875,17393.625,0.20312328935094964,359.98263901126165,237875.01318173605
"Albany, NY",84428.8125,16437.6875,0.19469286625344873,524.131221712473,161083.34898300678
"Rochester, NY",84220.3125,16850.8125,0.20008014693604942,246.66735256591227,341432.749911626
"Tulsa, OK",84050.8125,18316.3125,0.21791951743476604,233.2988370822737,360271.03071396437
"Portland, ME",82060.5,14370,0.17511470195770193,586.8499240623895,139832.17281847334
"Charleston, SC",81773,16863.5625,0.20622408985851076,316.03297429868155,258748.31631561538
"Columbia, SC",81607.75,16757.5,0.20534201714910655,388.32499345253814,210153.22571549664
"Dayton, OH",80797.375,17817.0625,0.22051536327758173,331.28012152772294,243894.42574277287
"McAllen, TX",79301.75,14919.75,0.18813897549549663,216.8738862387743,365658.36198780604
"Huntsville, AL",75561.5,20546.0625,0.27191178708733943,406.8430455834446,185726.41420388277
"Honolulu, HI",75146.875,11728.875,0.15607934461679213,76.6851517566849,979940.3571428572
"Syracuse, NY",73884.875,14893.1875,0.2015728861962614,297.24934137558967,248561.94687625128
"Cape Coral, FL",71927.75,11863.0625,0.16493025987883675,176.70242099768063,407055.82636552624
"Lexington, KY",69444.25,13057.875,0.18803392649499417,484.19513644232325,143422.03127079966
"Little Rock, AR",68569.6875,12248.25,0.17862484789652863,294.5329845252097,232808.17804000818
"Reno, NV",67584.25,12947.375,0.1915738504163322,295.7748586790973,228498.96810643375
"Fort Collins, CO",65908.625,14462.5625,0.21943353392670534,246.19743162820828,267706.3873660998
"Fort Wayne, IN",63910.5625,14569.1875,0.22796212284941164,419.0725732580733,152504.7606984354
"Knoxville, TN",62339.8125,12532.75,0.2010392636326906,276.7704500024657,225240.1313053638
"El Paso, TX",62273.75,11180,0.17952989823159837,118.2340874997935,526698.7830401175
"Long Branch, NJ",60889.25,8055.375,0.13229552014518162,99.03500007665082,614825.5662429759
"North Port, FL & Port Charlotte, FL",60867.375,9280.3125,0.15246776290254016,196.9141624721864,309106.1315033516
"Toledo, OH",60631.625,13801.375,0.22762667172453319,270.6873361207096,223991.36165336566
"Wichita, KS",60167.8125,13470.8125,0.22388735671585203,181.1533895345282,332137.3817768499
"Baton Rouge, LA",59774.625,13507.625,0.22597590532772058,239.4840435418111,249597.5268997997
"Cedar Rapids, IA",59447.625,12640.0625,0.2126251889793747,484.32555887475905,122743.10927987276
"South Bend, IN",58839.375,12838.9375,0.2182031590240379,365.9314620496766,160793.4301970797
"Appleton, WI",55757.6875,13046.125,0.23397894684925732,455.5686652724835,122391.40167081151
"Greenville, SC",55140.6875,12488.625,0.22648656674801163,218.70732547481896,252120.89892411337
"Spokane, WA",55093.8125,9975.125,0.18105708331584422,204.56524560510613,269321.4692311586
"Lansing, MI",54627.625,11153.1875,0.20416753428324955,332.4125032543838,164336.853954604
"Savannah, GA",54335.75,13196.75,0.24287416663982736,368.73056289559884,147358.95384778408
"Springfield, MA",54142.6875,9432,0.17420635058058395,186.77313857811635,289884.7656155613
"Winchester, VA",52662.0625,10964.375,0.20820253669327896,328.0585350043112,160526.4209916317
"Chattanooga, TN",52547.25,10691.125,0.20345736456237007,284.8511168963962,184472.6837392464
"Santa Barbara, CA",50875.875,8552.9375,0.16811381622429097,139.93148691648605,363577.0341693271
"Columbus, GA",50616,10166.8125,0.20086163466097676,455.59282859028167,111099.20267318207
"Killeen, TX",49588.6875,9760.125,0.19682160371758176,239.22324076767202,207290.42605086757
"Newport News, VA",48541.5,9890.6875,0.20375735195657324,471.4664326417127,102958.54940936748
"Eugene, OR",48130.875,8887,0.1846423943051108,214.95750930601838,223908.7862312351
"Bakersfield, CA",47744.9375,10360.6875,0.2170007553156814,71.74849427431893,665448.6339107668
"Fayetteville, NC",47735.875,9347.4375,0.19581577796573332,306.8815832299959,155551.44918626087
