cz_label,year,posts_total,posts_airea,cz_pop_year,airea_pct_posts,posts_per_1000
"Aberdeen, SD",2010,2192,303,29922.38586358636,0.13822992700729927,73.25619053217025
"Aberdeen, SD",2011,2455,338,31257.740196078434,0.13767820773930753,78.54054658461848
"Aberdeen, SD",2012,5454,951,29971.077435897438,0.17436743674367436,181.97543987749827
"Aberdeen, SD",2013,8554,1505,28952.311198501873,0.17594108019639934,295.45136971457475
"Aberdeen, SD",2014,7588,1314,30163.29047619048,0.1731681602530311,251.56406612831645
"Aberdeen, SD",2015,8915,1768,30554.581998474445,0.19831744251261918,291.7729327943389
"Aberdeen, SD",2016,7108,1114,30802.991386217953,0.15672481710748454,230.7568090020082
"Aberdeen, SD",2017,5048,1173,32641.62767702936,0.23236925515055468,154.64915076990445
"Aberdeen, SD",2018,3390,587,32597.10721247564,0.17315634218289086,103.99695831606098
"Aberdeen, SD",2019,2534,407,33688.67450052577,0.1606156274664562,75.218156771364
"Aberdeen, SD",2020,3396,511,32445.437054026508,0.15047114252061247,104.66803064927595
"Aberdeen, SD",2021,4593,705,31550.956376429203,0.1534944480731548,145.57403411806862
"Aberdeen, SD",2022,4798,767,31565.95916666666,0.1598582742809504,151.9991828750333
"Aberdeen, SD",2023,5354,944,29475.21350210971,0.17631677250653716,181.6441465170993
"Aberdeen, SD",2024,6419,756,NA,0.11777535441657579,NA
"Aberdeen, SD",2025,716,102,NA,0.1424581005586592,NA
"Aberdeen, WA",2010,3538,375,49147.37272727273,0.105992085924251,71.98757133230649
"Aberdeen, WA",2011,4317,629,51112.027857829016,0.14570303451470928,84.46152854682227
"Aberdeen, WA",2012,4473,680,51625.9781420765,0.1520232506147999,86.6424261771883
"Aberdeen, WA",2013,5334,753,50403.243523316065,0.14116985376827895,105.82652280170308
"Aberdeen, WA",2014,4906,742,50301.72574955908,0.1512433754586221,97.53144503283772
"Aberdeen, WA",2015,8348,1143,46565.27462568952,0.13691902252036417,179.27522315941644
"Aberdeen, WA",2016,9229,1204,48659.089953271025,0.13045833784808755,189.66651470183518
"Aberdeen, WA",2017,8385,1211,49848.30569514238,0.14442456768038164,168.2103309845715
"Aberdeen, WA",2018,6692,974,50816.35524054983,0.14554692169754932,131.68988543790715
"Aberdeen, WA",2019,5258,648,51297.27055702918,0.12324077596044124,102.50058030191832
"Aberdeen, WA",2020,5681,695,52991.19273743017,0.12233761661679282,107.20649425932326
"Aberdeen, WA",2021,7784,1077,52764.27647975078,0.138360739979445,147.52405451797006
"Aberdeen, WA",2022,8588,1061,55223.78531073446,0.12354448067070331,155.51270076248565
"Aberdeen, WA",2023,7111,767,53979.51046901173,0.10786106032906764,131.73517021948993
"Aberdeen, WA",2024,9481,906,NA,0.09555954013289737,NA
"Aberdeen, WA",2025,1868,203,NA,0.10867237687366167,NA
"Abilene, TX",2010,6580,857,120098.42901960785,0.13024316109422493,54.78839360109962
"Abilene, TX",2011,9503,1392,123345.71327683616,0.14648005892875934,77.04361787321737
"Abilene, TX",2012,6824,1136,123958.63630136986,0.16647127784290738,55.05062175264176
"Abilene, TX",2013,9519,1376,123093.5396575821,0.14455299926462864,77.33143450484621
"Abilene, TX",2014,10632,1663,122736.00386221295,0.15641459744168548,86.62494838870423
"Abilene, TX",2015,9610,1306,121075.82171286426,0.13590010405827263,79.37175122206038
"Abilene, TX",2016,10334,1228,119155.7685810811,0.1188310431585059,86.72681249979178
"Abilene, TX",2017,11375,1462,117476.34085185186,0.12852747252747251,96.82800738869531
"Abilene, TX",2018,14866,2176,121096.94416329284,0.1463742768734024,122.76114895148785
"Abilene, TX",2019,16589,2039,118126.15999999999,0.12291277352462475,140.43459975334846
"Abilene, TX",2020,18679,2179,114489.5721895425,0.11665506718775095,163.1502296914526
"Abilene, TX",2021,22228,3208,117198.63504587155,0.1443224761561994,189.66091193212242
"Abilene, TX",2022,28520,3719,114000.2884707288,0.13039971949509116,250.17480554290805
"Abilene, TX",2023,28476,3595,113359.74278787879,0.12624666385728334,251.20028768312318
"Abilene, TX",2024,23415,3042,NA,0.1299167200512492,NA
"Abilene, TX",2025,3817,598,NA,0.15666753995284255,NA
"Alamogordo, NM",2010,1317,144,51037.555555555555,0.10933940774487472,25.80452738506285
"Alamogordo, NM",2011,1894,202,50846.38576779026,0.10665258711721225,37.249451881392034
"Alamogordo, NM",2012,1744,223,52218.21722846442,0.12786697247706422,33.398306042691495
"Alamogordo, NM",2013,2069,231,53293.55762081784,0.11164813919768003,38.822703763199236
"Alamogordo, NM",2014,2748,446,51491,0.16229985443959244,53.368549843662
"Alamogordo, NM",2015,2901,386,50672.354632587856,0.13305756635642882,57.25015190303275
"Alamogordo, NM",2016,4018,562,51462.081210191085,0.13987058237929317,78.07690449962432
"Alamogordo, NM",2017,4502,838,53161.835889570546,0.18613949355841847,84.68481053498036
"Alamogordo, NM",2018,4267,527,55456.861918604656,0.12350597609561753,76.94268756610818
"Alamogordo, NM",2019,3844,435,46786.72549019607,0.11316337148803329,82.1600562921526
"Alamogordo, NM",2020,3524,569,49439.76205787781,0.16146424517593644,71.27866019813257
"Alamogordo, NM",2021,3163,602,50507.61094224924,0.19032564021498577,62.62422516116624
"Alamogordo, NM",2022,5328,1119,55140.64150943396,0.21002252252252251,96.62564406488521
"Alamogordo, NM",2023,5945,723,53307.13930348258,0.1216148023549201,111.52352344691681
"Alamogordo, NM",2024,5469,585,NA,0.10696653867251783,NA
"Alamogordo, NM",2025,1068,105,NA,0.09831460674157304,NA
"Alamosa, CO",2010,1004,102,12271.064814814816,0.10159362549800798,81.81849050197128
"Alamosa, CO",2011,1427,151,11936.629333333334,0.10581639803784162,119.54798629920316
"Alamosa, CO",2012,1228,154,11831.362345679014,0.1254071661237785,103.79193571469675
"Alamosa, CO",2013,2028,290,12206.704801324504,0.14299802761341224,166.1382029800499
"Alamosa, CO",2014,2541,502,12395.887264150942,0.19756001574183393,204.98734345129154
"Alamosa, CO",2015,2055,384,12805.608536585365,0.18686131386861313,160.47655948008298
"Alamosa, CO",2016,2608,485,12440.324807480747,0.18596625766871167,209.64082854426198
"Alamosa, CO",2017,2392,556,12608.147232472325,0.23244147157190637,189.71859670542204
"Alamosa, CO",2018,2458,407,12707.083828382836,0.16558177379983727,193.43541234140238
"Alamosa, CO",2019,2633,323,12087.48795986622,0.1226737561716673,217.82855203184346
"Alamosa, CO",2020,2404,376,12519.621022067364,0.15640599001663893,192.01859191765118
"Alamosa, CO",2021,3771,571,12155.684054054054,0.15141872182444974,310.22523975047955
"Alamosa, CO",2022,3289,265,12212.914583333333,0.08057160231073275,269.305085003085
"Alamosa, CO",2023,2208,196,12327.61970260223,0.08876811594202899,179.11000284458115
"Alamosa, CO",2024,2130,192,NA,0.09014084507042254,NA
"Alamosa, CO",2025,374,48,NA,0.12834224598930483,NA
"Albany, GA",2010,4628,705,74372.56813744889,0.15233362143474502,62.227244747645855
"Albany, GA",2011,7785,1286,76578.28619283941,0.16518946692357098,101.6606715433121
"Albany, GA",2012,5345,1070,67481.2336786623,0.20018709073900842,79.20720633905808
"Albany, GA",2013,9952,1814,68249.05013457558,0.1822749196141479,145.8188792426611
"Albany, GA",2014,10694,1912,63391.36504305426,0.17879184589489433,168.69805521204395
"Albany, GA",2015,10523,1875,59742.173526585524,0.17818112705502234,176.14022689210026
"Albany, GA",2016,10405,1875,61176.442469911046,0.1802018260451706,170.08180894332952
"Albany, GA",2017,10721,2228,61996.81294091711,0.20781643503404534,172.92824407308
"Albany, GA",2018,9899,1821,61566.85885923601,0.18395797555308618,160.78455492804457
"Albany, GA",2019,11874,2102,61918.41310568088,0.17702543372073437,191.76848056060058
"Albany, GA",2020,12750,2030,59451.76163084703,0.1592156862745098,214.45958286599463
"Albany, GA",2021,13689,2605,57618.96034516476,0.19029878004236978,237.5780458029168
"Albany, GA",2022,10632,1604,60729.982929325575,0.1508653122648608,175.070031097703
"Albany, GA",2023,10720,1721,58247.46600681843,0.1605410447761194,184.04234097917873
"Albany, GA",2024,8462,1407,NA,0.1662727487591586,NA
"Albany, GA",2025,1613,248,NA,0.15375077495350278,NA
"Albany, NY",2010,54022,6639,181267.74541211795,0.12289437636518455,298.023235613039
"Albany, NY",2011,68989,9505,178993.90114788924,0.13777558741248605,385.42653999702236
"Albany, NY",2012,84411,12062,179622.81569559386,0.14289606804800323,469.93473336400103
"Albany, NY",2013,92474,13563,146118.49627657677,0.14666825269805567,632.8699128203652
"Albany, NY",2014,85925,13248,157145.26130582666,0.15418097177771312,546.7870891300879
"Albany, NY",2015,89038,14119,155522.85527483438,0.1585727442215683,572.5074931440479
"Albany, NY",2016,93204,13872,159891.42365029606,0.14883481395648254,582.9205711736586
"Albany, NY",2017,99537,15578,156916.6095722305,0.15650461637381075,634.3305547535552
"Albany, NY",2018,92637,14547,156424.64249448793,0.15703228731500374,592.2148743492531
"Albany, NY",2019,92580,14344,158532.0021723741,0.15493627133290128,583.983036430313
"Albany, NY",2020,77990,12210,158786.68689271805,0.15655853314527504,491.1620837123003
"Albany, NY",2021,94524,14753,153439.36813144613,0.1560767635732724,616.0348621810316
"Albany, NY",2022,86864,14740,154113.97102670211,0.16969055074599373,563.6348179293217
"Albany, NY",2023,93988,13290,158391.10670900144,0.14140102991871303,593.391901558439
"Albany, NY",2024,119538,15449,NA,0.1292392377319346,NA
"Albany, NY",2025,25140,3208,NA,0.12760540970564838,NA
"Albuquerque, NM",2010,48148,5793,333134.4242487481,0.12031652405084323,144.5302451362648
"Albuquerque, NM",2011,80415,10612,340570.8809339528,0.13196542933532301,236.11824880470314
"Albuquerque, NM",2012,65643,8950,343683.4399765315,0.136343555291501,190.9984374122956
"Albuquerque, NM",2013,74886,8716,327186.0358363859,0.11639024650802553,228.87896119578838
"Albuquerque, NM",2014,82131,10420,324526.5146855828,0.1268704873920931,253.07947512261842
"Albuquerque, NM",2015,73618,9787,309642.5622467875,0.13294303023717025,237.75155284151762
"Albuquerque, NM",2016,76877,10213,306723.3692780337,0.13284857629720204,250.6395263619896
"Albuquerque, NM",2017,74117,10365,304684.1980742858,0.1398464589770228,243.25843108518987
"Albuquerque, NM",2018,123222,18992,317878.2854885686,0.15412832124133677,387.638934853986
"Albuquerque, NM",2019,136435,20317,314911.89629246533,0.14891340198629385,433.24816117232336
"Albuquerque, NM",2020,127629,19707,325091.0012030836,0.15440848083115907,392.5946874188328
"Albuquerque, NM",2021,156716,23605,298477.09438800457,0.15062278261313458,525.0520155368353
"Albuquerque, NM",2022,174020,25625,288678.64909297065,0.14725318928858752,602.8156240399886
"Albuquerque, NM",2023,175507,25799,270698.42933077854,0.14699698587520726,648.3487932822105
"Albuquerque, NM",2024,191298,24267,NA,0.1268544365335759,NA
"Albuquerque, NM",2025,29420,3894,NA,0.13235893949694086,NA
"Alexandria, LA",2010,4790,646,109373.57490421455,0.1348643006263048,43.79485633705317
"Alexandria, LA",2011,7107,1126,110249.4076744186,0.15843534543407908,64.46293136547212
"Alexandria, LA",2012,6122,959,105563.42799650044,0.1566481541979745,57.993569517304344
"Alexandria, LA",2013,9706,1384,99667.3542145594,0.142592211003503,97.38394358402812
"Alexandria, LA",2014,11357,1698,97827.17637681159,0.14951131460773093,116.09248493746774
"Alexandria, LA",2015,11305,1758,98588.84268018018,0.15550641309155241,114.6681479634886
"Alexandria, LA",2016,10406,1343,100460.32962962963,0.1290601576013838,103.58317594979172
"Alexandria, LA",2017,8923,1443,103293.97923832922,0.16171691135268407,86.3845121060933
"Alexandria, LA",2018,8042,1191,103330.62304277644,0.14809748818701815,77.82784776852455
"Alexandria, LA",2019,9408,987,105414.80487900079,0.10491071428571429,89.24742602141008
"Alexandria, LA",2020,10843,1158,103519.05585996957,0.10679701189707645,104.74400012561308
"Alexandria, LA",2021,10808,1349,100685.97887640451,0.12481495188749074,107.3436452682969
"Alexandria, LA",2022,12210,1552,96118.63108695652,0.1271089271089271,127.03052323907804
"Alexandria, LA",2023,15541,1818,95453.90526499302,0.11698088926066534,162.81156812658497
"Alexandria, LA",2024,9398,1031,NA,0.10970419238135773,NA
"Alexandria, LA",2025,1627,201,NA,0.12354025814382298,NA
"Alexandria, MN & Fergus Falls, MN",2010,1931,298,35079.25228466386,0.15432418436043502,55.046783333070216
"Alexandria, MN & Fergus Falls, MN",2011,1818,346,34449.375017379214,0.19031903190319033,52.77309092205142
"Alexandria, MN & Fergus Falls, MN",2012,2188,433,34868.98734087694,0.19789762340036562,62.74916958758381
"Alexandria, MN & Fergus Falls, MN",2013,9823,1987,32578.246290726816,0.20228036241474093,301.52022034396776
"Alexandria, MN & Fergus Falls, MN",2014,12598,2296,31518.65066387142,0.18225115097634545,399.699851822673
"Alexandria, MN & Fergus Falls, MN",2015,12285,2341,32182.5011201527,0.19055759055759056,381.72918736596034
"Alexandria, MN & Fergus Falls, MN",2016,13804,2721,32241.158859700907,0.19711677774558098,428.14838201284357
"Alexandria, MN & Fergus Falls, MN",2017,11365,2490,32787.486573652815,0.2190937087549494,346.62614270447386
"Alexandria, MN & Fergus Falls, MN",2018,10864,2278,34403.13709273183,0.20968335787923417,315.7851556012658
"Alexandria, MN & Fergus Falls, MN",2019,6808,1326,34401.96128787879,0.19477085781433606,197.8956938829745
"Alexandria, MN & Fergus Falls, MN",2020,7744,1842,34208.20636221702,0.2378615702479339,226.37842855605703
"Alexandria, MN & Fergus Falls, MN",2021,11028,2339,34994.99547363031,0.21209648168298875,315.13077372191407
"Alexandria, MN & Fergus Falls, MN",2022,10892,2504,34118.472013457555,0.229893499816379,319.24055671965033
