instnm,year,tot_completions,tot_airea_completions,first_students_enrolled,rural,tribal,cz_label,pct_airea_completions
Aiken Technical College,2010,533,92,3128,Rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.1726078799249531
Aiken Technical College,2011,740,71,3071,Rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.09594594594594595
Aiken Technical College,2012,687,63,2905,Rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.09170305676855896
Aiken Technical College,2013,678,43,2583,Rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.06342182890855458
Aiken Technical College,2014,703,79,2351,Rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.112375533428165
Aiken Technical College,2015,479,56,2359,Rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.11691022964509394
Aiken Technical College,2016,498,60,2459,Rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.12048192771084337
Aiken Technical College,2017,460,121,2399,Rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.26304347826086955
Aiken Technical College,2018,455,99,2267,Rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.2175824175824176
Aiken Technical College,2019,450,71,2236,Rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.15777777777777777
Aiken Technical College,2020,392,22,1925,Rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.05612244897959184
Aiken Technical College,2021,365,46,1873,Rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.12602739726027398
Aiken Technical College,2022,328,33,2121,Rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.10060975609756098
Aiken Technical College,2023,1427,129,2218,Non-rural,Non-tribal,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.09039943938332165
Aims Community College,2010,1256,173,5340,Non-rural,Non-tribal,"Fort Collins, CO",0.1377388535031847
Aims Community College,2011,1442,305,5290,Non-rural,Non-tribal,"Fort Collins, CO",0.21151178918169208
Aims Community College,2012,1433,344,4983,Non-rural,Non-tribal,"Fort Collins, CO",0.24005582693649685
Aims Community College,2013,1509,371,4955,Non-rural,Non-tribal,"Fort Collins, CO",0.24585818422796554
Aims Community College,2014,1487,325,5001,Non-rural,Non-tribal,"Fort Collins, CO",0.21856086079354406
Aims Community College,2015,1419,346,5298,Non-rural,Non-tribal,"Fort Collins, CO",0.24383368569415081
Aims Community College,2016,1412,291,5652,Non-rural,Non-tribal,"Fort Collins, CO",0.20609065155807366
Aims Community College,2017,1844,502,5982,Non-rural,Non-tribal,"Fort Collins, CO",0.272234273318872
Aims Community College,2018,1852,555,6250,Non-rural,Non-tribal,"Fort Collins, CO",0.2996760259179266
Aims Community College,2019,1847,523,6634,Non-rural,Non-tribal,"Fort Collins, CO",0.28316188413643745
Aims Community College,2020,1558,356,5981,Non-rural,Non-tribal,"Fort Collins, CO",0.22849807445442877
Aims Community College,2021,1501,342,6940,Non-rural,Non-tribal,"Fort Collins, CO",0.22784810126582278
Aims Community College,2022,1595,355,7178,Non-rural,Non-tribal,"Fort Collins, CO",0.2225705329153605
Aims Community College,2023,1890,482,7529,Non-rural,Non-tribal,"Fort Collins, CO",0.25502645502645505
Alabama Southern Community College,2010,194,55,1503,Rural,Non-tribal,"Andalusia, AL & Atmore, AL",0.28350515463917525
Alabama Southern Community College,2011,292,77,1432,Rural,Non-tribal,"Andalusia, AL & Atmore, AL",0.2636986301369863
Alabama Southern Community College,2012,294,64,1312,Rural,Non-tribal,"Andalusia, AL & Atmore, AL",0.21768707482993196
Alabama Southern Community College,2013,301,81,1349,Rural,Non-tribal,"Andalusia, AL & Atmore, AL",0.2691029900332226
Alabama Southern Community College,2014,265,76,1398,Rural,Non-tribal,"Andalusia, AL & Atmore, AL",0.28679245283018867
Alabama Southern Community College,2015,354,142,1386,Rural,Non-tribal,"Andalusia, AL & Atmore, AL",0.4011299435028249
Alabama Southern Community College,2016,302,115,1362,Rural,Non-tribal,"Andalusia, AL & Atmore, AL",0.38079470198675497
Alabama Southern Community College,2017,289,91,982,Rural,Non-tribal,"Andalusia, AL & Atmore, AL",0.314878892733564
