instnm,mean_completions,mean_airea_completions,mean_students_enrolled,rural,tribal,cz_label,pct_airea_completions
Aiken Technical College,487.78571428571433,58.357142857142854,2421.0714285714284,1,2,"Hilton Head Island, SC & Aiken, SC & Bluffton, SC",0.11963684287597011
Aims Community College,1326.357142857143,296.5,5929.5,0,2,"Fort Collins, CO",0.22354461737304107
Alabama Southern Community College,286.375,87.625,1340.5,1,2,"Andalusia, AL & Atmore, AL",0.30597992143168923
Alamance Community College,936.7142857142857,196.07142857142858,4370.071428571428,1,2,"Burlington, NC",0.2093182858014336
Albany Technical College,2024.8571428571427,595.0714285714287,3402.8571428571427,0,2,"Albany, GA",0.29388316636094264
Alexandria Technical & Community College,758,184.21428571428572,2739,1,2,"Alexandria, MN & Fergus Falls, MN",0.24302676215604976
Allan Hancock College,2315.0714285714284,377.42857142857144,11087.714285714286,0,2,"Santa Barbara, CA",0.16303106969855916
Allegany College of Maryland,684.6428571428571,61.07142857142857,3000.8571428571427,1,2,"Cumberland, MD",0.0892018779342723
Allen County Community College,466.64285714285717,45.21428571428571,2457.5,1,2,"Parsons, KS & Chanute, KS",0.09689269860707177
Alpena Community College,381.7142857142857,149.07142857142858,1637.642857142857,1,2,"Alpena, MI",0.3905314371257485
Alvin Community College,1120.9285714285713,177.21428571428572,5419.714285714285,0,2,"Houston, TX",0.15809596635442555
Amarillo College,1716.2142857142858,335.64285714285717,10191.214285714286,0,2,"Amarillo, TX",0.19557164856203438
American River College,4852.928571428572,952.2857142857143,29864.428571428572,0,2,"Sacramento, CA",0.1962290811144964
Angelina College,818.2142857142857,141.35714285714286,4944.857142857143,1,2,"Lufkin, TX",0.17276298559580971
Anne Arundel Community College,2217.714285714286,131.57142857142858,14030.357142857143,0,2,"Baltimore, MD",0.05932749291419737
Anoka Technical College,554,157.57142857142858,1992.357142857143,0,2,"Minneapolis, MN",0.2844249613202682
Anoka-Ramsey Community College,1098.9285714285713,10.857142857142858,8748.57142857143,0,2,"Minneapolis, MN",0.009879753006174847
Antelope Valley Community College District,2318.1428571428573,461.42857142857144,13585.642857142857,0,2,"Los Angeles, CA",0.1990509644419794
Arapahoe Community College,1373.142857142857,118.07142857142858,11602.714285714286,0,2,"Denver, CO",0.08598626716604246
Arizona Western College,1837.2142857142858,207.42857142857142,7769.428571428572,1,2,"Yuma, AZ",0.11290385288285835
Arkansas Northeastern College,391.57142857142856,67.28571428571429,1537.4285714285713,1,2,"Blytheville, AR",0.1718350966800438
Arkansas State University Mid-South,329.5,84,1607.2857142857142,0,2,"Memphis, TN",0.2549317147192716
Arkansas State University Three Rivers,530.6428571428571,91.5,1454.2857142857142,1,2,"Hot Springs, AR",0.17243235967155743
Arkansas State University-Beebe,1336.2142857142858,277.85714285714283,3761.214285714286,1,2,"Searcy, AR",0.20794355054257763
Arkansas State University-Mountain Home,507.92857142857144,54.28571428571429,1356.142857142857,1,2,"Mountain Home, AR",0.10687666994796795
Arkansas State University-Newport,721.7857142857143,203.78571428571428,2159.6428571428573,1,2,"Searcy, AR",0.28233547748639287
Asheville-Buncombe Technical Community College,1266,192.71428571428572,7217.785714285715,0,2,"Asheville, NC",0.15222297449785602
Ashland Community and Technical College,1406.9285714285713,598,3103.4285714285716,0,2,"Huntington, WV",0.42503934609331373
Asnuntuck Community College,399.2307692307692,146.69230769230768,1626.6153846153845,0,2,NA,0.3674373795761079
Athens Technical College,1520.5,399.35714285714283,4502.5,0,2,"Athens, GA",0.26264856485178745
Atlanta Technical College,1743.642857142857,496.5,3972.3571428571427,0,2,"Atlanta, GA",0.284748678874278
Atlantic Cape Community College,772.1428571428571,11,5862.285714285715,1,2,"Trenton, NJ",0.014246068455134136
Augusta Technical College,1451.642857142857,435.07142857142856,4285.714285714285,0,2,"Augusta, GA",0.29970968853023666
Austin Community College District,3674.2142857142853,478.14285714285717,40464.142857142855,0,2,"Austin, TX",0.1301347226812341
Bakersfield College,3685.1428571428573,518.2142857142857,22499.071428571428,0,2,"Bakersfield, CA",0.14062257714374318
Baltimore City Community College,517.2857142857143,33.07142857142857,4839.214285714285,0,2,"Baltimore, MD",0.06393261529964098
Barstow Community College,409.92857142857144,60.42857142857143,2823.714285714286,1,2,"Los Angeles, CA",0.14741244119184527
